location,target_end_date,target_type,true_value,location_name,population
AT,2020-01-25,Cases,0,Austria,8809212
AT,2020-02-01,Cases,0,Austria,8809212
AT,2020-02-08,Cases,0,Austria,8809212
AT,2020-02-15,Cases,0,Austria,8809212
AT,2020-02-22,Cases,0,Austria,8809212
AT,2020-02-29,Cases,9,Austria,8809212
AT,2020-03-07,Cases,70,Austria,8809212
AT,2020-03-14,Cases,576,Austria,8809212
AT,2020-03-21,Cases,2159,Austria,8809212
AT,2020-03-28,Cases,5457,Austria,8809212
AT,2020-04-04,Cases,3510,Austria,8809212
AT,2020-04-11,Cases,2025,Austria,8809212
AT,2020-04-18,Cases,865,Austria,8809212
AT,2020-04-25,Cases,477,Austria,8809212
AT,2020-05-02,Cases,410,Austria,8809212
AT,2020-05-09,Cases,275,Austria,8809212
AT,2020-05-16,Cases,368,Austria,8809212
AT,2020-05-23,Cases,285,Austria,8809212
AT,2020-05-30,Cases,199,Austria,8809212
AT,2020-06-06,Cases,213,Austria,8809212
AT,2020-06-13,Cases,180,Austria,8809212
AT,2020-06-20,Cases,245,Austria,8809212
AT,2020-06-27,Cases,257,Austria,8809212
AT,2020-07-04,Cases,585,Austria,8809212
AT,2020-07-11,Cases,618,Austria,8809212
AT,2020-07-18,Cases,790,Austria,8809212
AT,2020-07-25,Cases,765,Austria,8809212
AT,2020-08-01,Cases,874,Austria,8809212
AT,2020-08-08,Cases,707,Austria,8809212
AT,2020-08-15,Cases,1260,Austria,8809212
AT,2020-08-22,Cases,1883,Austria,8809212
AT,2020-08-29,Cases,1923,Austria,8809212
AT,2020-09-05,Cases,2102,Austria,8809212
AT,2020-09-12,Cases,3609,Austria,8809212
AT,2020-09-19,Cases,4778,Austria,8809212
AT,2020-09-26,Cases,4740,Austria,8809212
AT,2020-10-03,Cases,5218,Austria,8809212
AT,2020-10-10,Cases,6991,Austria,8809212
AT,2020-10-17,Cases,8711,Austria,8809212
AT,2020-10-24,Cases,14895,Austria,8809212
AT,2020-10-31,Cases,26896,Austria,8809212
AT,2020-11-07,Cases,42295,Austria,8809212
AT,2020-11-14,Cases,51071,Austria,8809212
AT,2020-11-21,Cases,43671,Austria,8809212
AT,2020-11-28,Cases,33699,Austria,8809212
AT,2020-12-05,Cases,25028,Austria,8809212
AT,2020-12-12,Cases,19133,Austria,8809212
AT,2020-12-19,Cases,17387,Austria,8809212
AT,2020-12-26,Cases,13275,Austria,8809212
AT,2021-01-02,Cases,13818,Austria,8809212
AT,2021-01-09,Cases,14769,Austria,8809212
AT,2021-01-16,Cases,13440,Austria,8809212
AT,2021-01-23,Cases,11001,Austria,8809212
AT,2021-01-30,Cases,9696,Austria,8809212
AT,2021-02-06,Cases,9314,Austria,8809212
AT,2021-02-13,Cases,9781,Austria,8809212
AT,2021-02-20,Cases,11233,Austria,8809212
AT,2021-02-27,Cases,13781,Austria,8809212
AT,2021-03-06,Cases,15554,Austria,8809212
AT,2021-03-13,Cases,18194,Austria,8809212
AT,2021-03-20,Cases,20375,Austria,8809212
AT,2021-03-27,Cases,22346,Austria,8809212
AT,2021-04-03,Cases,22226,Austria,8809212
AT,2021-04-10,Cases,18743,Austria,8809212
AT,2021-04-17,Cases,16592,Austria,8809212
AT,2021-04-24,Cases,15607,Austria,8809212
AT,2021-05-01,Cases,13531,Austria,8809212
AT,2021-05-08,Cases,9565,Austria,8809212
AT,2021-05-15,Cases,6374,Austria,8809212
AT,2021-05-22,Cases,4452,Austria,8809212
AT,2021-05-29,Cases,3331,Austria,8809212
AT,2021-06-05,Cases,2231,Austria,8809212
AT,2021-06-12,Cases,1949,Austria,8809212
AT,2021-06-19,Cases,1058,Austria,8809212
AT,2021-06-26,Cases,747,Austria,8809212
AT,2021-07-03,Cases,470,Austria,8809212
AT,2021-07-10,Cases,791,Austria,8809212
AT,2021-07-17,Cases,1959,Austria,8809212
AT,2021-07-24,Cases,2526,Austria,8809212
AT,2021-07-31,Cases,3118,Austria,8809212
AT,2021-08-07,Cases,3473,Austria,8809212
AT,2021-08-14,Cases,5312,Austria,8809212
AT,2021-08-21,Cases,7564,Austria,8809212
AT,2021-08-28,Cases,9136,Austria,8809212
AT,2021-09-04,Cases,10590,Austria,8809212
AT,2021-09-11,Cases,13042,Austria,8809212
AT,2021-09-18,Cases,14184,Austria,8809212
AT,2021-09-25,Cases,11945,Austria,8809212
AT,2021-10-02,Cases,12078,Austria,8809212
AT,2021-10-09,Cases,13163,Austria,8809212
AT,2021-10-16,Cases,13997,Austria,8809212
AT,2021-10-23,Cases,21442,Austria,8809212
BE,2020-01-25,Cases,0,Belgium,11372068
BE,2020-02-01,Cases,0,Belgium,11372068
BE,2020-02-08,Cases,1,Belgium,11372068
BE,2020-02-15,Cases,0,Belgium,11372068
BE,2020-02-22,Cases,0,Belgium,11372068
BE,2020-02-29,Cases,0,Belgium,11372068
BE,2020-03-07,Cases,168,Belgium,11372068
BE,2020-03-14,Cases,520,Belgium,11372068
BE,2020-03-21,Cases,2126,Belgium,11372068
BE,2020-03-28,Cases,6319,Belgium,11372068
BE,2020-04-04,Cases,9297,Belgium,11372068
BE,2020-04-11,Cases,9587,Belgium,11372068
BE,2020-04-18,Cases,9165,Belgium,11372068
BE,2020-04-25,Cases,8142,Belgium,11372068
BE,2020-05-02,Cases,4192,Belgium,11372068
BE,2020-05-09,Cases,3079,Belgium,11372068
BE,2020-05-16,Cases,2393,Belgium,11372068
BE,2020-05-23,Cases,1821,Belgium,11372068
BE,2020-05-30,Cases,1376,Belgium,11372068
BE,2020-06-06,Cases,886,Belgium,11372068
BE,2020-06-13,Cases,846,Belgium,11372068
BE,2020-06-20,Cases,632,Belgium,11372068
BE,2020-06-27,Cases,659,Belgium,11372068
BE,2020-07-04,Cases,629,Belgium,11372068
BE,2020-07-11,Cases,631,Belgium,11372068
BE,2020-07-18,Cases,1237,Belgium,11372068
BE,2020-07-25,Cases,2021,Belgium,11372068
BE,2020-08-01,Cases,3675,Belgium,11372068
BE,2020-08-08,Cases,3999,Belgium,11372068
BE,2020-08-15,Cases,4468,Belgium,11372068
BE,2020-08-22,Cases,3599,Belgium,11372068
BE,2020-08-29,Cases,3131,Belgium,11372068
BE,2020-09-05,Cases,3226,Belgium,11372068
BE,2020-09-12,Cases,4653,Belgium,11372068
BE,2020-09-19,Cases,8270,Belgium,11372068
BE,2020-09-26,Cases,12055,Belgium,11372068
BE,2020-10-03,Cases,14820,Belgium,11372068
BE,2020-10-10,Cases,29308,Belgium,11372068
BE,2020-10-17,Cases,56184,Belgium,11372068
BE,2020-10-24,Cases,92294,Belgium,11372068
BE,2020-10-31,Cases,123820,Belgium,11372068
BE,2020-11-07,Cases,64939,Belgium,11372068
BE,2020-11-14,Cases,37112,Belgium,11372068
BE,2020-11-21,Cases,25624,Belgium,11372068
BE,2020-11-28,Cases,17544,Belgium,11372068
BE,2020-12-05,Cases,15494,Belgium,11372068
BE,2020-12-12,Cases,13217,Belgium,11372068
BE,2020-12-19,Cases,20601,Belgium,11372068
BE,2020-12-26,Cases,14270,Belgium,11372068
BE,2021-01-02,Cases,11139,Belgium,11372068
BE,2021-01-09,Cases,13525,Belgium,11372068
BE,2021-01-16,Cases,14515,Belgium,11372068
BE,2021-01-23,Cases,14645,Belgium,11372068
BE,2021-01-30,Cases,15983,Belgium,11372068
BE,2021-02-06,Cases,16033,Belgium,11372068
BE,2021-02-13,Cases,13245,Belgium,11372068
BE,2021-02-20,Cases,15264,Belgium,11372068
BE,2021-02-27,Cases,17035,Belgium,11372068
BE,2021-03-06,Cases,16395,Belgium,11372068
BE,2021-03-13,Cases,19512,Belgium,11372068
BE,2021-03-20,Cases,22620,Belgium,11372068
BE,2021-03-27,Cases,38122,Belgium,11372068
BE,2021-04-03,Cases,31411,Belgium,11372068
BE,2021-04-10,Cases,25013,Belgium,11372068
BE,2021-04-17,Cases,24513,Belgium,11372068
BE,2021-04-24,Cases,25041,Belgium,11372068
BE,2021-05-01,Cases,21393,Belgium,11372068
BE,2021-05-08,Cases,20917,Belgium,11372068
BE,2021-05-15,Cases,15720,Belgium,11372068
BE,2021-05-22,Cases,17057,Belgium,11372068
BE,2021-05-29,Cases,12635,Belgium,11372068
BE,2021-06-05,Cases,10111,Belgium,11372068
BE,2021-06-12,Cases,5891,Belgium,11372068
BE,2021-06-19,Cases,3319,Belgium,11372068
BE,2021-06-26,Cases,3392,Belgium,11372068
BE,2021-07-03,Cases,4032,Belgium,11372068
BE,2021-07-10,Cases,7192,Belgium,11372068
BE,2021-07-17,Cases,9713,Belgium,11372068
BE,2021-07-24,Cases,10052,Belgium,11372068
BE,2021-07-31,Cases,11250,Belgium,11372068
BE,2021-08-07,Cases,12011,Belgium,11372068
BE,2021-08-14,Cases,13143,Belgium,11372068
BE,2021-08-21,Cases,13857,Belgium,11372068
BE,2021-08-28,Cases,14183,Belgium,11372068
BE,2021-09-04,Cases,14099,Belgium,11372068
BE,2021-09-11,Cases,13508,Belgium,11372068
BE,2021-09-18,Cases,14298,Belgium,11372068
BE,2021-09-25,Cases,13909,Belgium,11372068
BE,2021-10-02,Cases,13474,Belgium,11372068
BE,2021-10-09,Cases,13905,Belgium,11372068
BE,2021-10-16,Cases,18767,Belgium,11372068
BE,2021-10-23,Cases,32491,Belgium,11372068
BG,2020-01-25,Cases,0,Bulgaria,7075991
BG,2020-02-01,Cases,0,Bulgaria,7075991
BG,2020-02-08,Cases,0,Bulgaria,7075991
BG,2020-02-15,Cases,0,Bulgaria,7075991
BG,2020-02-22,Cases,0,Bulgaria,7075991
BG,2020-02-29,Cases,0,Bulgaria,7075991
BG,2020-03-07,Cases,0,Bulgaria,7075991
BG,2020-03-14,Cases,41,Bulgaria,7075991
BG,2020-03-21,Cases,122,Bulgaria,7075991
BG,2020-03-28,Cases,168,Bulgaria,7075991
BG,2020-04-04,Cases,172,Bulgaria,7075991
BG,2020-04-11,Cases,158,Bulgaria,7075991
BG,2020-04-18,Cases,217,Bulgaria,7075991
BG,2020-04-25,Cases,369,Bulgaria,7075991
BG,2020-05-02,Cases,347,Bulgaria,7075991
BG,2020-05-09,Cases,327,Bulgaria,7075991
BG,2020-05-16,Cases,254,Bulgaria,7075991
BG,2020-05-23,Cases,233,Bulgaria,7075991
BG,2020-05-30,Cases,91,Bulgaria,7075991
BG,2020-06-06,Cases,212,Bulgaria,7075991
BG,2020-06-13,Cases,555,Bulgaria,7075991
BG,2020-06-20,Cases,606,Bulgaria,7075991
BG,2020-06-27,Cases,753,Bulgaria,7075991
BG,2020-07-04,Cases,1052,Bulgaria,7075991
BG,2020-07-11,Cases,1498,Bulgaria,7075991
BG,2020-07-18,Cases,1463,Bulgaria,7075991
BG,2020-07-25,Cases,1674,Bulgaria,7075991
BG,2020-08-01,Cases,1524,Bulgaria,7075991
BG,2020-08-08,Cases,1507,Bulgaria,7075991
BG,2020-08-15,Cases,990,Bulgaria,7075991
BG,2020-08-22,Cases,798,Bulgaria,7075991
BG,2020-08-29,Cases,1033,Bulgaria,7075991
BG,2020-09-05,Cases,886,Bulgaria,7075991
BG,2020-09-12,Cases,841,Bulgaria,7075991
BG,2020-09-19,Cases,928,Bulgaria,7075991
BG,2020-09-26,Cases,1178,Bulgaria,7075991
BG,2020-10-03,Cases,1521,Bulgaria,7075991
BG,2020-10-10,Cases,2801,Bulgaria,7075991
BG,2020-10-17,Cases,4789,Bulgaria,7075991
BG,2020-10-24,Cases,8454,Bulgaria,7075991
BG,2020-10-31,Cases,15282,Bulgaria,7075991
BG,2020-11-07,Cases,21641,Bulgaria,7075991
BG,2020-11-14,Cases,22950,Bulgaria,7075991
BG,2020-11-21,Cases,23262,Bulgaria,7075991
BG,2020-11-28,Cases,21050,Bulgaria,7075991
BG,2020-12-05,Cases,19097,Bulgaria,7075991
BG,2020-12-12,Cases,18108,Bulgaria,7075991
BG,2020-12-19,Cases,12077,Bulgaria,7075991
BG,2020-12-26,Cases,6355,Bulgaria,7075991
BG,2021-01-02,Cases,5496,Bulgaria,7075991
BG,2021-01-09,Cases,5526,Bulgaria,7075991
BG,2021-01-16,Cases,3330,Bulgaria,7075991
BG,2021-01-23,Cases,2960,Bulgaria,7075991
BG,2021-01-30,Cases,3922,Bulgaria,7075991
BG,2021-02-06,Cases,4934,Bulgaria,7075991
BG,2021-02-13,Cases,5964,Bulgaria,7075991
BG,2021-02-20,Cases,6923,Bulgaria,7075991
BG,2021-02-27,Cases,10267,Bulgaria,7075991
BG,2021-03-06,Cases,13105,Bulgaria,7075991
BG,2021-03-13,Cases,18067,Bulgaria,7075991
BG,2021-03-20,Cases,24602,Bulgaria,7075991
BG,2021-03-27,Cases,25290,Bulgaria,7075991
BG,2021-04-03,Cases,24489,Bulgaria,7075991
BG,2021-04-10,Cases,19272,Bulgaria,7075991
BG,2021-04-17,Cases,14432,Bulgaria,7075991
BG,2021-04-24,Cases,11137,Bulgaria,7075991
BG,2021-05-01,Cases,7746,Bulgaria,7075991
BG,2021-05-08,Cases,5115,Bulgaria,7075991
BG,2021-05-15,Cases,4080,Bulgaria,7075991
BG,2021-05-22,Cases,2524,Bulgaria,7075991
BG,2021-05-29,Cases,1656,Bulgaria,7075991
BG,2021-06-05,Cases,1205,Bulgaria,7075991
BG,2021-06-12,Cases,868,Bulgaria,7075991
BG,2021-06-19,Cases,711,Bulgaria,7075991
BG,2021-06-26,Cases,510,Bulgaria,7075991
BG,2021-07-03,Cases,519,Bulgaria,7075991
BG,2021-07-10,Cases,412,Bulgaria,7075991
BG,2021-07-17,Cases,484,Bulgaria,7075991
BG,2021-07-24,Cases,699,Bulgaria,7075991
